year,poverty_rate,state
1991,12.40,Wisconsin
1991,16.70,Massachusetts
1992,16.70,Oregon
1992,14.50,North Dakota
1992,16.50,Michigan
1992,19.50,Georgia
1992,15.20,Pennsylvania
1992,12.30,Nebraska
1992,18.40,Illinois
1992,27.00,Arizona
1992,14.90,Virginia
1992,22.30,Kentucky
1992,12.00,Connecticut
1992,13.10,Washington
1992,24.90,New Mexico
1992,15.30,Kansas
1992,12.50,New Hampshire
1992,14.90,Rhode Island
1992,21.10,Texas
1992,13.60,Alaska
1992,25.70,Mississippi
1992,14.70,Maryland
1992,18.50,South Carolina
1992,15.79,National
1992,14.00,Utah
1992,26.70,Louisiana
1992,15.20,Ohio
1992,22.30,West Virginia
1992,21.00,Oklahoma
1992,21.40,Arkansas
1992,17.80,Idaho
1992,26.10,California
1992,14.50,Vermont
1992,15.30,New Jersey
1992,15.20,Colorado
1992,21.00,Alabama
1992,12.50,Wisconsin
1992,14.20,Wyoming
1992,21.80,New York
1992,17.60,Nevada
1992,17.20,Missouri
1992,20.60,Florida
1992,17.70,North Carolina
1992,13.60,Iowa
1992,18.90,Montana
1992,13.20,Delaware
1992,16.10,Indiana
1992,14.80,Minnesota
1992,18.00,Hawaii
1992,17.60,Maine
1992,15.00,South Dakota
1992,19.20,Tennessee
1992,17.20,Massachusetts
1993,12.90,Utah
1993,13.80,North Dakota
1993,13.80,Wyoming
1993,16.00,Missouri
1993,15.40,Rhode Island
1993,15.70,Michigan
1993,14.60,Virginia
1993,21.00,Kentucky
1993,14.00,Minnesota
1993,17.50,Nevada
1993,24.10,Mississippi
1993,27.66,Arizona
1993,26.60,California
1993,20.30,Alabama
1993,13.70,Iowa
1993,18.20,Tennessee
1993,16.79,National
1993,12.70,New Hampshire
1993,19.80,Arkansas
1993,20.70,Florida
1993,12.90,Delaware
1993,15.90,New Jersey
1993,17.00,Idaho
1993,12.70,Alaska
1993,12.40,Connecticut
1993,14.50,Kansas
1993,11.90,Nebraska
1993,15.10,Pennsylvania
1993,18.60,South Carolina
1993,22.30,New York
1993,16.30,Oregon
1993,15.10,Maryland
1993,16.80,North Carolina
1993,17.40,Massachusetts
1993,18.70,Hawaii
1993,12.20,Wisconsin
1993,20.70,Oklahoma
1993,14.70,Ohio
1993,18.10,Illinois
1993,14.90,Indiana
1993,14.50,Vermont
1993,16.80,Maine
1993,14.80,South Dakota
1993,18.90,Georgia
1993,17.20,Montana
1993,13.40,Washington
1993,25.60,New Mexico
1993,20.90,Texas
1993,13.50,Colorado
1993,21.50,West Virginia
1993,25.20,Louisiana
1994,11.50,Utah
1994,17.70,Georgia
1994,28.46,Arizona
1994,26.60,California
1994,12.30,New Hampshire
1994,19.80,Kentucky
1994,14.50,Ohio
1994,15.90,Idaho
1994,17.30,South Carolina
1994,12.10,Wisconsin
1994,12.90,Delaware
1994,22.80,Mississippi
1994,14.30,Missouri
1994,12.80,Indiana
1994,13.30,Wyoming
1994,14.00,Kansas
1994,14.40,South Dakota
1994,20.40,Hawaii
1994,12.90,Iowa
1994,12.50,North Dakota
1994,18.90,Alabama
1994,22.70,New York
1994,13.90,Washington
1994,13.40,Connecticut
1994,15.70,Rhode Island
1994,15.50,Maryland
1994,24.30,Louisiana
1994,17.90,Tennessee
1994,16.30,New Jersey
1994,15.68,National
1994,14.40,Virginia
1994,12.90,Colorado
1994,17.00,Nevada
1994,16.10,Oregon
1994,13.50,Minnesota
1994,20.60,Florida
1994,14.20,Vermont
1994,21.10,West Virginia
1994,15.10,Michigan
1994,25.60,New Mexico
1994,11.70,Alaska
1994,16.20,Montana
1994,17.10,Massachusetts
1994,15.90,Maine
1994,20.40,Texas
1994,19.40,Oklahoma
1994,19.10,Arkansas
1994,17.40,Illinois
1994,11.30,Nebraska
1994,15.10,Pennsylvania
1994,16.10,North Carolina
1995,20.30,Florida
1995,13.00,Kansas
1995,22.40,Louisiana
1995,16.00,Nevada
1995,15.10,Idaho
1995,13.80,Washington
1995,13.90,Connecticut
1995,11.30,Wisconsin
1995,18.60,Arkansas
1995,16.10,Oregon
1995,14.90,Pennsylvania
1995,11.10,Utah
1995,15.90,Montana
1995,15.00,Maine
1995,17.00,Massachusetts
1995,14.70,Virginia
1995,11.00,Nebraska
1995,11.80,Colorado
1995,18.00,Alabama
1995,14.40,Michigan
1995,15.80,Rhode Island
1995,14.90,North Carolina
1995,18.30,Kentucky
1995,20.00,Texas
1995,26.40,California
1995,13.50,Ohio
1995,16.90,Georgia
1995,20.50,Mississippi
1995,16.20,New Jersey
1995,17.00,Tennessee
1995,16.30,South Carolina
1995,14.90,Maryland
1995,19.50,West Virginia
1995,17.80,Oklahoma
1995,22.00,Hawaii
1995,11.90,North Dakota
1995,11.50,Indiana
1995,11.90,Minnesota
1995,16.50,Illinois
1995,24.90,New Mexico
1995,11.70,Alaska
1995,13.20,Vermont
1995,14.21,National
1995,11.90,Iowa
1995,12.90,Wyoming
1995,14.70,South Dakota
1995,12.80,Delaware
1995,28.65,Arizona
1995,11.90,New Hampshire
1995,22.90,New York
1995,13.10,Missouri
1996,12.90,Maine
1996,15.40,Tennessee
1996,15.70,Oklahoma
1996,16.30,Kentucky
1996,19.00,Texas
1996,25.10,California
1996,10.20,Utah
1996,14.10,Pennsylvania
1996,12.00,Kansas
1996,16.00,Oregon
1996,15.50,Rhode Island
1996,15.40,Illinois
1996,18.50,Mississippi
1996,15.80,Nevada
1996,10.90,Iowa
1996,28.19,Arizona
1996,13.50,Michigan
1996,14.70,Idaho
1996,24.40,New Mexico
1996,12.10,Vermont
